,Unnamed: 0,K,y_mean,p,variance,variance_verdoja,our_formula
96,96,100,100,0.7,144.5877437760814,222.81403516217682,1.9640043489728733
97,97,100,100,0.8,211.59636177732264,369.8224852071005,3.5644897858126785
98,98,100,100,0.9,319.3999947238372,757.511993939904,6.153730014887179
99,99,100,1000,0.001,9.831700939510432,10.009809612418184,7.458745104009229e-06
100,100,100,1000,0.05,512.8229733776768,525.7622099279955,1.3911781120448183
101,101,100,1000,0.1,1076.5305897759242,1108.6460844468043,13.70818082086525
102,102,100,1000,0.2,2409.735504854393,2487.5467192368205,150.20817275268212
103,103,100,1000,0.3,4085.167998955875,4249.214401194637,657.0666793193908
104,104,100,1000,0.5,9244.896952292149,9802.96049406921,4767.113882543237
105,105,100,1000,0.7,20940.80765633154,22281.403516217684,19640.04348972873
106,106,100,1000,0.8,34284.24047344066,36982.24852071005,35644.89785812678
107,107,100,1000,0.9,67947.17632260358,75751.19939399039,61537.300148871785
108,108,500,1,0.001,0.0001231915192211,2.0019939860020423e-06,7.868650321319356e-21
109,109,500,1,0.05,0.0044437362451252,0.00010524100072847821,1.0540879102947826e-15
110,110,500,1,0.1,0.0102126260361188,0.00022212348970218225,8.722889858392325e-15
111,111,500,1,0.2,0.0231111252540781,0.0004995003747501562,7.323938728148021e-14
112,112,500,1,0.3,0.0302448416511139,0.0008556753564437936,2.566266814320616e-13
113,113,500,1,0.5,0.0903065792658231,0.0019920239361596167,1.2617890551793828e-12
114,114,500,1,0.7,0.1767393833031482,0.004623414113918283,3.638404518097891e-12
115,115,500,1,0.8,0.2899397271537203,0.007873519778281683,5.553646522227381e-12
116,116,500,1,0.9,0.5675129477618867,0.017369085343965786,8.075839450392583e-12
117,117,500,10,0.001,0.0003174454006197,0.00020019939860020422,7.868650321319356e-17
118,118,500,10,0.05,0.0140524831164394,0.010524100072847821,1.0540879102947826e-11
119,119,500,10,0.1,0.0297460181677285,0.022212348970218225,8.722889858392324e-11
120,120,500,10,0.2,0.0653547465926523,0.04995003747501562,7.323938728148021e-10
121,121,500,10,0.3,0.1033504990384217,0.08556753564437936,2.5662668143206163e-09
122,122,500,10,0.5,0.2109663157329529,0.19920239361596168,1.2617890551793827e-08
123,123,500,10,0.7,0.3986979210620243,0.4623414113918283,3.638404518097891e-08
124,124,500,10,0.8,0.4594369650931721,0.7873519778281681,5.553646522227381e-08
125,125,500,10,0.9,0.7431604230079594,1.7369085343965784,8.075839450392583e-08
126,126,500,100,0.001,0.0199669750345706,0.02001993986002042,7.868650321319356e-13
127,127,500,100,0.05,1.0117282666241183,1.052410007284782,1.0540879102947828e-07
128,128,500,100,0.1,2.139163345168266,2.2212348970218225,8.722889858392325e-07
129,129,500,100,0.2,4.914443186529125,4.9950037475015625,7.323938728148022e-06
130,130,500,100,0.3,8.449174362184818,8.556753564437935,2.566266814320616e-05
131,131,500,100,0.5,19.24783213387988,19.92023936159617,0.00012617890551793826
132,132,500,100,0.7,41.027749731415575,46.23414113918283,0.00036384045180978906
133,133,500,100,0.8,67.29876344989522,78.73519778281683,0.0005553646522227382
134,134,500,100,0.9,130.32993288525074,173.69085343965784,0.0008075839450392583
135,135,500,1000,0.001,1.9823401837123344,2.001993986002042,7.868650321319356e-09
136,136,500,1000,0.05,105.0303649347554,105.24100072847821,0.0010540879102947827
137,137,500,1000,0.1,221.15823650717545,222.12348970218224,0.008722889858392325
138,138,500,1000,0.2,499.68530256258265,499.5003747501562,0.07323938728148022
139,139,500,1000,0.3,855.3032906442253,855.6753564437936,0.25662668143206163
140,140,500,1000,0.5,1977.7622480265825,1992.0239361596168,1.2617890551793827
141,141,500,1000,0.7,4517.577795360746,4623.414113918283,3.6384045180978903
142,142,500,1000,0.8,7726.994087986407,7873.519778281682,5.553646522227381
143,143,500,1000,0.9,16592.746880976476,17369.085343965784,8.075839450392582
144,144,1000,1,0.001,0.0001980507540555,1.0009989969980022e-06,4.682077224453341e-22
145,145,1000,1,0.05,0.0102576544266042,5.262603921851429e-05,6.055266772190609e-17
146,146,1000,1,0.1,0.0225605001972334,0.00011108642386770318,4.924943586211139e-16
147,147,1000,1,0.2,0.0554680907679039,0.00024987504685937986,4.0336049455693404e-15
148,148,1000,1,0.3,0.0974423925494425,0.0004282043176493851,1.386233288853127e-14
149,149,1000,1,0.5,0.25326122902461,0.000998002996004994,6.605943390721166e-14
150,150,1000,1,0.7,0.6952870013535286,0.002322482437332512,1.8560477547135509e-13
151,151,1000,1,0.8,0.9442331514251664,0.003968190981095537,2.8000388789036734e-13
152,152,1000,1,0.9,2.3111346984309504,0.008840161048089492,4.0267279639135384e-13
153,153,1000,10,0.001,0.0002860327630899,0.00010009989969980022,4.682077224453341e-18
154,154,1000,10,0.05,0.0150611399713506,0.005262603921851429,6.055266772190608e-13
155,155,1000,10,0.1,0.0328802681368848,0.011108642386770317,4.924943586211138e-12
156,156,1000,10,0.2,0.0757663645422718,0.024987504685937988,4.03360494556934e-11
157,157,1000,10,0.3,0.1423191551782583,0.042820431764938514,1.386233288853127e-10
158,158,1000,10,0.5,0.3612646953109075,0.0998002996004994,6.605943390721165e-10
159,159,1000,10,0.7,0.7302803786824229,0.23224824373325123,1.856047754713551e-09
160,160,1000,10,0.8,1.2802610838648938,0.3968190981095537,2.800038878903673e-09
161,161,1000,10,0.9,2.650795877743929,0.8840161048089491,4.026727963913538e-09
162,162,1000,100,0.001,0.0100791758427453,0.01000998996998002,4.682077224453341e-14
163,163,1000,100,0.05,0.5492909806503364,0.5262603921851429,6.055266772190609e-09
164,164,1000,100,0.1,1.1608467168158083,1.1108642386770318,4.924943586211139e-08
165,165,1000,100,0.2,2.611661101744425,2.4987504685937987,4.0336049455693403e-07
166,166,1000,100,0.3,4.514817647398458,4.282043176493851,1.386233288853127e-06
167,167,1000,100,0.5,10.497707935556916,9.98002996004994,6.605943390721165e-06
168,168,1000,100,0.7,24.820333769663502,23.224824373325124,1.8560477547135508e-05
169,169,1000,100,0.8,41.75178290380962,39.68190981095537,2.8000388789036738e-05
170,170,1000,100,0.9,84.36099551046053,88.40161048089492,4.026727963913538e-05
171,171,1000,1000,0.001,0.996801558554341,1.000998996998002,4.682077224453341e-10
172,172,1000,1000,0.05,52.60291598790655,52.626039218514286,6.0552667721906086e-05
173,173,1000,1000,0.1,110.84574549321856,111.08642386770318,0.0004924943586211138
174,174,1000,1000,0.2,249.03955540739193,249.87504685937986,0.00403360494556934
175,175,1000,1000,0.3,428.3580032535865,428.20431764938513,0.013862332888531271
176,176,1000,1000,0.5,1004.7992031216032,998.002996004994,0.06605943390721165
177,177,1000,1000,0.7,2354.246003340866,2322.4824373325123,0.18560477547135507
178,178,1000,1000,0.8,4014.7028771836626,3968.1909810955367,0.28000388789036734
179,179,1000,1000,0.9,8827.037055014056,8840.16104808949,0.4026727963913538
